,andressa,eric,keli
Bacia de Irecê - 13,baciaSEDIMENTAR,baciaSEDIMENTAR,baciaSEDIMENTAR
neoproterozoicas - 21,era,eon,era
Cráton do São Francisco - 29,CONTEXTOgeologicoDeBACIA,unidadeESTRATIGRAFICA,
cinturão epidérmico de antepaís - 60,CONTEXTOgeologicoDeBACIA,,
cinturão epidérmico de antepaís - 109,CONTEXTOgeologicoDeBACIA,,
Bacia de Irecê - 113,baciaSEDIMENTAR,baciaSEDIMENTAR,baciaSEDIMENTAR
Cráton do São Francisco - 143,CONTEXTOgeologicoDeBACIA,unidadeESTRATIGRAFICA,
dobras e falhas E-W - 162,outro,,
bacia - 167,baciaSEDIMENTAR,,
falhas direcionais - 176,outro,,CONTEXTOgeologicoDeBACIA
cinturão - 189,CONTEXTOgeologicoDeBACIA,,CONTEXTOgeologicoDeBACIA
Cinturão de Antepaís - 229,CONTEXTOgeologicoDeBACIA,,
Bacia de Irecê - 233,baciaSEDIMENTAR,baciaSEDIMENTAR,baciaSEDIMENTAR
unidades carbonáticas - 278,sedimentaresCARBONATICAS,,
Grupo Una - 281,unidadeESTRATIGRAFICA,unidadeESTRATIGRAFICA,unidadeESTRATIGRAFICA
substrato quartzítico - 285,sedimentaresSILICICLASTICAS,,
Supergrupo Espinhaço - 288,unidadeESTRATIGRAFICA,unidadeESTRATIGRAFICA,unidadeESTRATIGRAFICA
Bacia de Irecê - 294,baciaSEDIMENTAR,baciaSEDIMENTAR,baciaSEDIMENTAR
Cinturão epidérmico de antepaís - 299,CONTEXTOgeologicoDeBACIA,,
Bacia de Irecê - 324,baciaSEDIMENTAR,baciaSEDIMENTAR,baciaSEDIMENTAR
neoproterozoicas - 342,era,,era
Cráton do São Francisco - 351,CONTEXTOgeologicoDeBACIA,unidadeESTRATIGRAFICA,
bacia - 365,baciaSEDIMENTAR,,
Grupo Una - 399,unidadeESTRATIGRAFICA,unidadeESTRATIGRAFICA,unidadeESTRATIGRAFICA
cinturão epidérmico de antepaís - 408,CONTEXTOgeologicoDeBACIA,,
cinturão - 416,CONTEXTOgeologicoDeBACIA,,CONTEXTOgeologicoDeBACIA
cinturão epidérmico de antepaís - 473,CONTEXTOgeologicoDeBACIA,,
Cráton do São Francisco - 503,CONTEXTOgeologicoDeBACIA,,
Pré-cambriano - 506,EON,EON,EON
neoproterozoicas - 519,era,eon,era
bacia - 521,baciaSEDIMENTAR,,
cinturão epidérmico - 566,CONTEXTOgeologicoDeBACIA,,CONTEXTOgeologicoDeBACIA
bacia - 607,baciaSEDIMENTAR,,
cinturão - 627,CONTEXTOgeologicoDeBACIA,,CONTEXTOgeologicoDeBACIA
cinturão epidérmico de antepaís - 637,CONTEXTOgeologicoDeBACIA,,
neoproterozoicos - 642,era,eon,era
Bacia de Irecê - 646,baciaSEDIMENTAR,baciaSEDIMENTAR,baciaSEDIMENTAR
cinturão - 691,CONTEXTOgeologicoDeBACIA,,CONTEXTOgeologicoDeBACIA
neoproterozoico - 692,era,eon,era
Cráton do São Francisco - 702,CONTEXTOgeologicoDeBACIA,unidadeESTRATIGRAFICA,
Bacia de Irecê - 712,baciaSEDIMENTAR,baciaSEDIMENTAR,baciaSEDIMENTAR
Cráton do São Francisco - 721,CONTEXTOgeologicoDeBACIA,unidadeESTRATIGRAFICA,
pré-cambrianos - 734,eon,,eon
Supergrupo Espinhaço - 737,unidadeESTRATIGRAFICA,,unidadeESTRATIGRAFICA
Grupo Una - 741,unidadeESTRATIGRAFICA,,unidadeESTRATIGRAFICA
arqueano - 747,eon,,eon
paleoproterozoico - 749,era,,era
Supergrupo Espinhaço - 766,unidadeESTRATIGRAFICA,,unidadeESTRATIGRAFICA
paleo - 768,era,,
mesoproterozoico - 770,era,,
Bacia de Irecê - 780,baciaSEDIMENTAR,baciaSEDIMENTAR,baciaSEDIMENTAR
siliciclástica - 788,sedimentaresSILICICLASTICAS,sedimentaresSILICICLASTICAS,sedimentaresSILICICLASTICAS
rift-sag - 824,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
Grupo Una - 828,unidadeESTRATIGRAFICA,unidadeESTRATIGRAFICA,unidadeESTRATIGRAFICA
neoproterozoica - 832,era,eon,era
Supergrupo Espinhaço - 841,unidadeESTRATIGRAFICA,unidadeESTRATIGRAFICA,unidadeESTRATIGRAFICA
discordância erosiva - 847,outro,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
Bacia de Irecê - 859,baciaSEDIMENTAR,baciaSEDIMENTAR,baciaSEDIMENTAR
formações Bebedouro e Salitre - 867,unidadeESTRATIGRAFICA,,unidadeESTRATIGRAFICA
Formação Bebedouro - 871,unidadeESTRATIGRAFICA,unidadeESTRATIGRAFICA,
diamictitos - 876,sedimentaresSILICICLASTICAS,sedimentaresSILICICLASTICAS,sedimentaresSILICICLASTICAS
pelitos - 878,sedimentaresSILICICLASTICAS,sedimentaresSILICICLASTICAS,sedimentaresSILICICLASTICAS
arenitos - 880,sedimentaresSILICICLASTICAS,sedimentaresSILICICLASTICAS,sedimentaresSILICICLASTICAS
Formação Bebedouro - 918,unidadeESTRATIGRAFICA,unidadeESTRATIGRAFICA,unidadeESTRATIGRAFICA
Formação Salitre - 922,unidadeESTRATIGRAFICA,unidadeESTRATIGRAFICA,unidadeESTRATIGRAFICA
Bacia de Irecê - 931,baciaSEDIMENTAR,baciaSEDIMENTAR,baciaSEDIMENTAR
sucessão carbonática - 937,sedimentaresCARBONATICAS,,
ciclos regressivo-transgressivos - 960,CONTEXTOgeologicoDeBACIA,,CONTEXTOgeologicoDeBACIA
Pré-Cambrianas - 977,eon,eon,
Fanerozoica - 982,eon,eon,eon
pré-cambrianas - 1033,eon,eon,eon
Supergrupo Espinhaço - 1069,unidadeESTRATIGRAFICA,unidadeESTRATIGRAFICA,unidadeESTRATIGRAFICA
Grupo Una - 1075,unidadeESTRATIGRAFICA,unidadeESTRATIGRAFICA,unidadeESTRATIGRAFICA
paleo - 1197,era,,
mesoproterozoicas - 1199,era,,
cinturão epidérmico de antepaís - 1212,CONTEXTOgeologicoDeBACIA,,
cinturão - 1220,CONTEXTOgeologicoDeBACIA,,CONTEXTOgeologicoDeBACIA
Bacia de Irecê - 1229,baciaSEDIMENTAR,baciaSEDIMENTAR,baciaSEDIMENTAR
sucessões carbonáticas - 1237,sedimentaresCARBONATICAS,,
neoproterozoicas - 1238,era,,era
Grupo Una - 1241,unidadeESTRATIGRAFICA,unidadeESTRATIGRAFICA,unidadeESTRATIGRAFICA
cinturão epidérmico de antepaís - 1247,CONTEXTOgeologicoDeBACIA,,
Bacia de Irecê - 1251,baciaSEDIMENTAR,baciaSEDIMENTAR,baciaSEDIMENTAR
neoproterozoicas - 1283,era,eon,era
Grupo Una - 1286,unidadeESTRATIGRAFICA,unidadeESTRATIGRAFICA,unidadeESTRATIGRAFICA
Bacia de Irecê - 1327,baciaSEDIMENTAR,baciaSEDIMENTAR,baciaSEDIMENTAR
Cráton do São Francisco - 1341,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA,
carbonatos - 1344,sedimentaresCARBONATICAS,sedimentaresCARBONATICAS,sedimentaresCARBONATICAS
Formação Salitre - 1347,unidadeESTRATIGRAFICA,unidadeESTRATIGRAFICA,unidadeESTRATIGRAFICA
sucessão carbonática - 1386,sedimentaresCARBONATICAS,,
Bacia de Irecê - 1416,baciaSEDIMENTAR,baciaSEDIMENTAR,baciaSEDIMENTAR
Grupo Una - 1540,unidadeESTRATIGRAFICA,unidadeESTRATIGRAFICA,unidadeESTRATIGRAFICA
Supergrupo Espinhaço - 1546,unidadeESTRATIGRAFICA,unidadeESTRATIGRAFICA,unidadeESTRATIGRAFICA
sucessões carbonáticas - 1554,sedimentaresCARBONATICAS,,
cinturão epidérmico - 1563,CONTEXTOgeologicoDeBACIA,,CONTEXTOgeologicoDeBACIA
Bacia de Irecê - 1571,baciaSEDIMENTAR,baciaSEDIMENTAR,baciaSEDIMENTAR
Bacia de Irecê - 1579,baciaSEDIMENTAR,baciaSEDIMENTAR,baciaSEDIMENTAR
cinturão epidérmico - 1583,CONTEXTOgeologicoDeBACIA,,CONTEXTOgeologicoDeBACIA
Bacia de Irecê - 1622,baciaSEDIMENTAR,baciaSEDIMENTAR,baciaSEDIMENTAR
cinturão epidérmico - 1736,CONTEXTOgeologicoDeBACIA,,CONTEXTOgeologicoDeBACIA
Bacia de Irecê - 1740,baciaSEDIMENTAR,baciaSEDIMENTAR,baciaSEDIMENTAR
cinturão - 1822,CONTEXTOgeologicoDeBACIA,,CONTEXTOgeologicoDeBACIA
coberturas carbonáticas - 1983,sedimentaresCARBONATICAS,,
Grupo Una - 1986,unidadeESTRATIGRAFICA,unidadeESTRATIGRAFICA,unidadeESTRATIGRAFICA
folhelhos - 2612,sedimentaresSILICICLASTICAS,sedimentaresSILICICLASTICAS,sedimentaresSILICICLASTICAS
argilitos - 2614,sedimentaresSILICICLASTICAS,sedimentaresSILICICLASTICAS,sedimentaresSILICICLASTICAS
margas - 2616,sedimentaresCARBONATICAS,sedimentaresCARBONATICAS,sedimentaresSILICICLASTICAS
Bacia de Irecê - 2662,baciaSEDIMENTAR,baciaSEDIMENTAR,baciaSEDIMENTAR
cinturão - 2732,CONTEXTOgeologicoDeBACIA,,CONTEXTOgeologicoDeBACIA
cinturão - 2778,CONTEXTOgeologicoDeBACIA,,CONTEXTOgeologicoDeBACIA
cinturões epidérmicos - 2843,CONTEXTOgeologicoDeBACIA,,CONTEXTOgeologicoDeBACIA
cinturões epidérmicos - 2905,CONTEXTOgeologicoDeBACIA,,CONTEXTOgeologicoDeBACIA
cinturões epidérmicos - 3027,CONTEXTOgeologicoDeBACIA,,CONTEXTOgeologicoDeBACIA
cinturão - 3067,CONTEXTOgeologicoDeBACIA,,CONTEXTOgeologicoDeBACIA
cinturão - 3103,CONTEXTOgeologicoDeBACIA,,CONTEXTOgeologicoDeBACIA
cinturão epidérmico de antepaís - 3143,CONTEXTOgeologicoDeBACIA,,
Bacia de Irecê - 3147,baciaSEDIMENTAR,baciaSEDIMENTAR,baciaSEDIMENTAR
cinturão - 3150,CONTEXTOgeologicoDeBACIA,,CONTEXTOgeologicoDeBACIA
depósitos carbonáticos - 3196,sedimentaresCARBONATICAS,,
Grupo Una - 3202,unidadeESTRATIGRAFICA,unidadeESTRATIGRAFICA,unidadeESTRATIGRAFICA
sucessões siliciclásticas - 3206,sedimentaresSILICICLASTICAS,,
